index,TIC,GaiaID,bp_rp_corr,Median_Period,Period_err,LC_source,ra,dec,l,b,ecl_lon,ecl_lat,pmra,pmdec,phot_g_mean_mag,ag_gspphot,bp_rp,ebpminrp,parallax,distance_gspphot,ruwe,radial_velocity,radial_velocity_error,vbroad,x,y,z,Type,HD,Vmag,B-V,V-I,MemF,comments,Voff(km/s),Vr(pred),rvdiff_x,simbadrvmem,rvdiff_y
1440,152109597,5395965948830908928,1.9716663,15.750483356801674,0.09081432258713562,QLP,169.7081633577605,-39.4729718050942,284.0910573448283,19.986805353857523,189.4443572996875,-39.65141446108872,36.89028600015469,-58.794628597831455,11.728326,0.0,1.9716663,0.0,21.09864983575816,47.4194,1.0795797,-4.7470126,0.4095905,13.428586,10.844302863937571,-43.20151628550344,16.200265660966654,,,,,,,,2.2848640866813543,-1.540219727921945,3.2067928720780547,,
1008,152701708,3595692610999928832,0.9814899,5.907035028191042,0.0,SPOC,179.77167864518003,-6.195130945793341,280.2098448800601,54.350752154962414,182.26330298907808,-5.772900069215668,27.15194764864558,-32.92455053031131,9.751013,0.0316,0.9981899,0.0167,15.038520585071266,66.0321,0.9211818,-5.4170823,0.1806409,7.938959,6.869517420119385,-38.14156837218245,54.03457739695925,,,,,,,,3.3945911153348303,-6.015832165374038,0.598749865374038,,
1588,153415912,5999476508267718912,0.8680887,7.4789596825337785,0.16889316754931816,QLP,232.66946495813667,-45.442131299956365,329.9770720923412,8.903511958562504,241.85363652880773,-25.583406696206875,26.334393355733464,-6.71194961594632,10.27494,0.133,0.9389887,0.0709,10.799316870024098,92.4358,0.836184,9.12442,0.36371225,,79.20800885183475,-45.77303696014597,14.331549403424797,,,,,,,,1.270828725121128,9.569367933951195,0.4449479339511946,,
1332,153709152,4837622639891346048,1.8688822,17.56438781397751,0.12795496298745945,QLP,65.53038976970771,-45.14215337381234,250.7821154608296,-44.7401725029803,46.42338462130428,-64.92271300139714,-19.171267669511973,-32.6943112468041,13.57099,0.3885,2.0907822,0.2219,10.920248712520472,91.4467,1.1180443,3.3491807,1.5655901,,-21.41026010457488,-61.42015480484171,-64.45758884131729,,,,,,,,3.9449937114346505,0.4355368624546472,2.9136438375453526,,
430,154221975,1554582830337096832,1.0841115,5.068520793205012,0.620117012262029,SPOC,198.04364234367287,48.73746609324844,113.77046393248104,68.02026092835565,169.910030188655,50.436956567030535,42.15654349450982,2.146416944874223,10.550327,0.0325,1.1012115,0.0171,12.465946790772309,80.162,1.0323421,-14.65682,0.35728225,5.7380466,-12.10191713659139,27.47707295818021,74.38795307784012,,,,,,,,4.9624896475042375,-8.241035182233203,6.415784817766797,,
1519,155563689,5694790806719364992,0.4302325999999999,0.8563029740089425,0.010415640398229842,SPOC,123.55463361832636,-24.93259257716443,244.50389945586167,5.335386044371954,133.63704387677532,-43.421782303212645,-1.6002165236769006,-19.641548370021457,7.697068,0.0006,0.4306326,0.0004,10.566756612885566,94.2522,1.0269321,-9.929652,0.38296375,45.2675,-40.55972353900058,-85.05012476551114,8.799817743682286,,,,,,,,4.742585233903974,-8.79068249848908,1.1389695015109211,,
325,156168345,1130191476820868096,1.3212267,3.8296249949371646,1.9861608855209505,SPOC,172.95189496595754,80.02502259988071,127.13663921923128,36.44427331090569,112.68500208239318,63.528802643850455,33.03335936758545,21.965908816775496,10.606332,0.2368,1.4445267,0.1233,16.797044692853103,59.3878,1.1070591,-13.201206,0.18958463,,-28.91293232529469,38.178978453835086,35.365784504964935,,,,,,,,1.5541369004955792,-9.691822579897057,3.509383420102944,,
329,156168568,1133353122506604928,0.66645363,3.341022110577779,0.22445308566029132,SPOC,172.57637868212592,81.03741712927487,126.73475233196896,35.48357235251405,110.58206422657868,63.93201152688103,34.11427459665435,26.400676849901764,8.298712,0.0004,0.66665363,0.0002,13.535417832678608,73.7268,0.8045143,-12.576502,0.17954616,7.618899,-35.981991840656995,48.212488423272674,42.88523033709653,,,,,,,,2.589365344193608,-9.582504956849526,2.9939970431504737,,
351,157111854,1195829091186588544,0.79865074,5.554436994895893,0.0,SPOC,236.09113611166265,15.29952392720735,25.54831753771393,48.22562416378369,229.47576383202613,34.09157322355969,64.53067093633824,-46.358302925661945,8.0275345,0.0,0.79865074,0.0,20.983193130572825,47.5391,1.0098686,0.756134,0.18954389,8.062956,28.644798690017307,13.692531878741306,35.54149319163974,,,,,,,,2.451297755235089,3.4514610100544605,2.6953270100544606,,
352,157111856,1195829091186588928,1.3701226,10.160784188629979,0.0,QLP,236.09018126482968,15.300968099367315,25.549743534257647,48.22704943941231,229.4742250665024,34.092717783479884,70.44677665401036,-45.43639701649664,10.14269,0.0024,1.3713226,0.0012,21.01399156324396,47.3648,0.99730086,0.83372796,0.57753694,,28.60167963011236,13.672795001322562,35.490191642812405,,,,,,,,3.668881985034974,3.4510208509880336,2.6172928909880335,,
438,157272202,1566224665609504128,0.77966547,5.864346097919166,0.1907756648572212,SPOC,198.4051039289953,56.70818414587732,116.81299469983952,60.155750998259286,161.57682344938107,56.704236068882174,111.54977002577172,-18.5277669218884,6.6633725,0.0,0.77966547,0.0,39.74369875767988,25.1215,0.99538386,-8.556589,0.12180055,11.380374,-5.648121274670613,11.175081157399063,21.82437501627644,UMa Nucleus Stars,115043,6.82,0.61,0.66,Y,,9.926379996055745e-15,-8.575000000000001,0.0184110000000004,,
